x y displacement_x displacement_y
-990000 -990000 6.46888159697191 -36.8762918271425
-990000 -970000 6.28507959164092 -36.8664299781066
-990000 -950000 6.09819281298158 -36.8580658120472
-990000 -930000 5.90813779033527 -36.851216559346
-990000 -910000 5.71482967579021 -36.8458978184055
-990000 -890000 5.51818237174253 -36.8421233736413
-990000 -870000 5.31810867960915 -36.8399050044516
-990000 -850000 5.11452047146074 -36.8392522855939
-990000 -830000 4.90732888637505 -36.8401723795729
-990000 -810000 4.69644455332225 -36.8426698218296
-990000 -790000 4.4817778423801 -36.8467462997414
-990000 -770000 4.2632391460323 -36.8524004266715
-990000 -750000 4.04073919222291 -36.8596275125699
-990000 -730000 3.81418939071765 -36.8684193329002
-990000 -710000 3.58350221415367 -36.8787638979666
-990000 -690000 3.34859161493521 -36.8906452250251
-990000 -670000 3.10937347885043 -36.9040431158888
-990000 -650000 2.86576611593507 -36.9189329430634
-990000 -630000 2.61769078869016 -36.9352854477848
-990000 -610000 2.36507227726632 -36.953066553646
-990000 -590000 2.1078394806553 -36.97223719981
-990000 -570000 1.84592605227766 -36.9927531980779
-990000 -550000 1.5792710676256 -37.0145651183167
-990000 -530000 1.30781972081433 -37.0376182069314
-990000 -510000 1.03152404602089 -37.0618523431731
-990000 -490000 0.750343658855667 -37.0872020381039
-990000 -470000 0.464246511732701 -37.1135964809569
-990000 -450000 0.173209656298316 -37.1409596374422
-990000 -430000 -0.122779995034801 -37.1692104042216
-990000 -410000 -0.423724917390943 -37.1982628233112
-990000 -390000 -0.729616241454209 -37.2280263595491
-990000 -370000 -1.04043305194364 -37.2584062434892
-990000 -350000 -1.35614172800188 -37.2893038811454
-990000 -330000 -1.67669533752156 -37.3206173309184
-990000 -310000 -2.0020330977948 -37.3522418468061
-990000 -290000 -2.33207991498896 -37.3840704856386
-990000 -270000 -2.66674601479289 -37.4159947746271
-990000 -250000 -3.00592667611079 -37.4479054339983
-990000 -230000 -3.34950207888269 -37.4796931479422
-990000 -210000 -3.69733727596897 -37.5112493755925
-990000 -190000 -4.04928229754894 -37.542467192314
-990000 -170000 -4.40517239466125 -37.5732421502722
-990000 -150000 -4.76482842638425 -37.6034731461345
-990000 -130000 -5.12805739275539 -37.6330632828809
-990000 -110000 -5.49465311291596 -37.6619207121072
-990000 -90000 -5.86439704520936 -37.6899594429475
-990000 -70000 -6.23705924313366 -37.7171001038379
-990000 -50000 -6.61239943824154 -37.7432706438215
-990000 -30000 -6.99016823838143 -37.7684069609434
-990000 -10000 -7.37010842717566 -37.7924534465036
-990000 10000 7.75195634841974 37.8153634354891
-990000 30000 8.13544335724153 37.8370995553462
-990000 50000 8.52029731844501 37.8576339673361
-990000 70000 8.90624413153033 37.8769484969585
-990000 90000 9.29300926146122 37.8950346522633
-990000 110000 9.68031925435392 37.9118935312167
-990000 130000 10.0679032178782 37.9275356215686
-990000 150000 10.4554942472615 37.9419804988073
